Exercise,Utility,Mechanics,Force,Instructions,Muscle
dumbbell incline bench press,basic or auxiliary,compound,push,"Sit down on incline bench with dumbbells resting on lower thigh. Kick weights to shoulders and lean back. Position dumbbells to sides of chest with upper arm under each dumbbell.
press dumbbells up with elbows to sides until arms are extended. lower weight to sides of upper chest until slight stretch is felt in chest or shoulder. repeat.","pectoralis major, clavicular"
dumbbell incline fly,auxiliary,isolated,push,"Grasp two dumbbells. Lie supine on bench. Support dumbbells above upper chest with arms fixed in slightly bent position. Bend elbows slightly and internally rotate shoulders so elbows point out to sides.
lower dumbbells outward to sides of shoulders. keep elbows fixed in slightly bent position. when a stretch is felt in chest or shoulders, bring dumbbells back together in hugging motion above upper chest until dumbbells are nearly together. repeat.","pectoralis major, clavicular"
lever incline bench press (plate loaded),basic or auxiliary,compound,push,"Lie supine on incline bench with lever bars out to sides of chest. Grasp handles with wide overhand grip.
press lever bars up until arms are extended. lower weight toward upper chest. repeat.","pectoralis major, clavicular"
lever incline chest press (plate loaded),basic or auxiliary,compound,push,Sit on seat with upper chest just above grips on lever. Grasp grips with wide overhand grip and position elbows out to sides.press lever until arms are extended. return weight until chest muscles are slightly stretched. repeat.,"pectoralis major, clavicular"
lever incline bench press,basic or auxiliary,compound,push,"Lie supine on incline bench with upper chest under lever bar. Grasp lever bar with wide oblique overhand grip.
press bar until arms are extended. lower weight to upper chest. repeat.","pectoralis major, clavicular"
lever incline chest press,basic or auxiliary,compound,push,"Sit on seat with upper chest just above grips on lever. If available, push foot lever until handles are within grasping range. Grasp handles with wide oblique overhand grip and position elbows out to sides. Release foot lever.press lever until arms are extended. return weight until shoulders or chest feels slightly stretched. repeat.","pectoralis major, clavicular"
lever incline fly,auxiliary,compound,push,"Lie supine on bench. Position inside of forearms under roller pads with arms out to each side. Slightly bend elbows and internally rotate shoulders so elbows are back.
raise lever upward and together in hugging motion. lower weight until slight stretch is felt in chest or shoulder. repeat.","pectoralis major, clavicular"
smith incline bench press,basic or auxiliary,compound,push,"Lie supine on incline bench with upper chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by rotating bar back.
lower weight to upper chest. press bar until arms are extended. repeat.","pectoralis major, clavicular"
decline push-up,basic or auxiliary,compound,push,"Kneel on floor with bench or elevation behind body. Position hands on floor slightly wider than shoulder width. Place feet on bench or elevation. Raise body body in plank position with body straight and arms extended.
keeping body straight, lower upper body to floor by bending arms. to allow for full descent, pull head back slightly without arching back. push body up until arms are extended. repeat.","pectoralis major, clavicular"
pike push-up,basic or auxiliary,compound,push,"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight.
lower head between ends of benches by bending arms. push body back up to original position by extending arms. repeat.","pectoralis major, clavicular"
cable standing fly,auxiliary,isolated,push,"Grasp two opposing high pulley dumbbell attachments. Stand with pulleys to each side. Bend over slightly by flexing hips and knees. Bend elbows slightly and internally rotate shoulders so elbows are back initially.
bring cable attachments together in hugging motion with elbows in fixed position. keep shoulders internally rotated so elbows are pointed upward at top and out to sides at bottom. return to starting position until chest muscles are stretched. repeat.","pectoralis major, sternal"
lever chest dip,basic,compound,push,"If possible, place handles in wide position. Sit on seat and grasp handles with oblique grip. Lean forward slightly and allow elbows to flare out.
push lever down by straightening arms. return lever up with elbows flaring out until chest is slightly stretched. repeat.","pectoralis major, sternal"
barbell incline shoulder raise,auxiliary,isolated,push,"Lie supine on incline bench. Dismount barbell from rack with shoulder width overhand grip. Position barbell over upper chest with elbows extended.
raise shoulders toward bar as high as possible. lower shoulders to bench and repeat.",serratus anterior
cable incline shoulder raise,auxiliary,isolated,push,"Sit on seat and grasp stirrups to each side. Push stirrups out at 30º to 45º until arms are straight and parallel to one another.
raise shoulders toward stirrups as high as possible. lower shoulders down and back and repeat.",serratus anterior
cable one arm incline push,auxiliary,compound,push,"Sit on seat and grasp stirrup with one hand. Position elbow out to side, slightly lower than shoulder height. Position hand down, slightly higher than shoulder height, slightly narrower than elbow width.
push stirrup forward and up at 30º to 45º while rotating torso away allowing shoulder to be extended forward. return stirrups to original position, until slight stretch, and repeat. continue with opposite side.",serratus anterior
dumbbell incline shoulder raise,auxiliary,isolated,push,"Sit down on incline bench with dumbbells resting on lower thigh. Kick weights to shoulders and lean back. Position dumbbells above shoulders with elbows extended.
raise shoulders toward dumbbells as high as possible. lower shoulders to bench and repeat.",serratus anterior
